"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14825-9649","PF","Nick","Collison","6.943749999999999","48","3500","OKC@SAC","OKC","SAC","","","",""
"14825-40819","PF","Jarell","Martin","0.6666666666666666","3","3500","MEM@DEN","MEM","DEN","","","",""
"14825-15961","C","Tyler","Zeller","9.476190476190476","42","3500","UTA@BOS","BOS","UTA","","","",""
"14825-55061","SF","Damien","Inglis","2.7249999999999996","8","3500","HOU@MIL","MIL","HOU","","","",""
"14825-15954","PG","Kendall","Marshall","8.666666666666666","18","3500","PHI@WAS","PHI","WAS","","","",""
"14825-23248","SG","RJ","Hunter","5.34074074074074","27","3500","UTA@BOS","BOS","UTA","","","",""
"14825-15469","PF","Quincy","Acy","8.74705882352941","34","3500","OKC@SAC","SAC","OKC","","","",""
"14825-9668","PF","Elton","Brand","0","0","3500","PHI@WAS","PHI","WAS","","","",""
"14825-15951","SF","P.J.","Hairston","10.960377358490566","53","3500","MEM@DEN","MEM","DEN","","","",""
"14825-42202","PF","Christian","Wood","7.992857142857143","14","3500","PHI@WAS","PHI","WAS","","","",""
"14825-23715","SG","Jordan","Adams","8.95","2","3500","MEM@DEN","MEM","DEN","O","Knee","",""
"14825-58461","PF","Trey","Lyles","9.957142857142857","56","3500","UTA@BOS","UTA","BOS","","","",""
"14825-23234","PG","Pablo","Prigioni","8.63783783783784","37","3500","BKN@LAC","LAC","BKN","","","",""
"14825-12424","C","Timofey","Mozgov","13.532727272727271","55","3500","IND@CLE","CLE","IND","","","",""
"14825-9715","SG","Marco","Belinelli","15.42909090909091","55","3500","OKC@SAC","SAC","OKC","","","",""
"14825-16759","PF","Alex","Stepheson","3.2","2","3500","BKN@LAC","LAC","BKN","","","",""
"14825-40202","SF","Sergey","Karasev","2.753846153846154","26","3500","BKN@LAC","BKN","LAC","","","",""
"14825-42689","PG","Tyler","Ennis","5.126923076923077","26","3500","HOU@MIL","MIL","HOU","","","",""
"14825-9725","SF","C.J.","Miles","18.755102040816325","49","3500","IND@CLE","IND","CLE","GTD","Calf","",""
"14825-23282","SF","Sam","Dekker","1.0666666666666667","3","3500","HOU@MIL","HOU","MIL","GTD","Back","",""
"14825-9720","C","Andrea","Bargnani","9.726086956521739","46","3500","BKN@LAC","BKN","LAC","","","",""
"14825-40208","PG","Raul","Neto","11.863157894736842","57","3500","UTA@BOS","UTA","BOS","","","",""
"14825-66520","C","Sasha","Kaun","1.9428571428571428","14","3500","IND@CLE","CLE","IND","","","",""
"14825-40209","C","Joffrey","Lauvergne","15.075675675675674","37","3500","MEM@DEN","DEN","MEM","","","",""
"14825-12445","SG","Gary","Neal","14.3275","40","3500","PHI@WAS","WAS","PHI","GTD","Thigh","",""
"14825-9706","SF","Richard","Jefferson","9.725925925925926","54","3500","IND@CLE","CLE","IND","","","",""
